Airfoil coordinates
1.000000 -0.000000
0.999748 -0.000573
0.998993 -0.002269
0.997736 -0.005019
0.995977 -0.008711
0.993719 -0.013197
0.990964 -0.018299
0.987715 -0.023816
0.983974 -0.029536
0.979746 -0.035244
0.975036 -0.040733
0.969846 -0.045812
0.964184 -0.050318
0.958054 -0.054117
0.951463 -0.057117
0.944418 -0.059265
0.936925 -0.060552
0.928992 -0.061012
0.920627 -0.060716
0.911838 -0.059772
0.902635 -0.058313
0.893027 -0.056494
0.883022 -0.054478
0.872632 -0.052433
0.861867 -0.050516
0.850737 -0.048867
0.839255 -0.047604
0.827430 -0.046812
0.815276 -0.046543
0.802805 -0.046808
0.790028 -0.047583
0.776960 -0.048807
0.763613 -0.050386
0.750000 -0.052199
0.736136 -0.054107
0.722033 -0.055959
0.707708 -0.057603
0.693173 -0.058893
0.678443 -0.059700
0.663534 -0.059917
0.648460 -0.059470
0.633237 -0.058318
0.617879 -0.056457
0.602403 -0.053922
0.586824 -0.050784
0.571157 -0.047148
0.555419 -0.043143
0.539625 -0.038919
0.523791 -0.034636
0.507933 -0.030455
0.492067 -0.026532
0.476209 -0.023002
0.460375 -0.019978
0.444581 -0.017541
0.428843 -0.015735
0.413176 -0.014568
0.397597 -0.014008
0.382121 -0.013985
0.366763 -0.014401
0.351540 -0.015130
0.336466 -0.016030
0.321557 -0.016951
0.306827 -0.017743
0.292292 -0.018270
0.277967 -0.018418
0.263864 -0.018099
0.250000 -0.017263
0.236387 -0.015898
0.223040 -0.014035
0.209972 -0.011744
0.197195 -0.009133
0.184724 -0.006341
0.172570 -0.003531
0.160745 -0.000877
0.149263 0.001441
0.138133 0.003253
0.127368 0.004410
0.116978 0.004792
0.106973 0.004318
0.097365 0.002953
0.088162 0.000713
0.079373 -0.002335
0.071008 -0.006076
0.063075 -0.010347
0.055582 -0.014947
0.048537 -0.019648
0.041946 -0.024203
0.035816 -0.028362
0.030154 -0.031885
0.024964 -0.034552
0.020254 -0.036180
0.016026 -0.036630
0.012285 -0.035817
0.009036 -0.033715
0.006281 -0.030360
0.004023 -0.025850
0.002264 -0.020336
0.001007 -0.014023
0.000252 -0.007154
0.000000 -0.000000
0.000252 -0.005769
0.001007 -0.011491
0.002264 -0.017119
0.004023 -0.022603
0.006281 -0.027892
0.009036 -0.032932
0.012285 -0.037667
0.016026 -0.042041
0.020254 -0.046000
0.024964 -0.049492
0.030154 -0.052474
0.035816 -0.054911
0.041946 -0.056780
0.048537 -0.058073
0.055582 -0.058800
0.063075 -0.058987
0.071008 -0.058681
0.079373 -0.057945
0.088162 -0.056860
0.097365 -0.055520
0.106973 -0.054026
0.116978 -0.052487
0.127368 -0.051011
0.138133 -0.049699
0.149263 -0.048643
0.160745 -0.047915
0.172570 -0.047569
0.184724 -0.047633
0.197195 -0.048107
0.209972 -0.048967
0.223040 -0.050157
0.236387 -0.051600
0.250000 -0.053195
0.263864 -0.054827
0.277967 -0.056370
0.292292 -0.057691
0.306827 -0.058665
0.321557 -0.059174
0.336466 -0.059119
0.351540 -0.058421
0.366763 -0.057028
0.382121 -0.054921
0.397597 -0.052110
0.413176 -0.048637
0.428843 -0.044574
0.444581 -0.040019
0.460375 -0.035091
0.476209 -0.029927
0.492067 -0.024670
0.507933 -0.019469
0.523791 -0.014464
0.539625 -0.009788
0.555419 -0.005554
0.571157 -0.001854
0.586824 0.001243
0.602403 0.003700
0.617879 0.005503
0.633237 0.006667
0.648460 0.007232
0.663534 0.007260
0.678443 0.006827
0.693173 0.006023
0.707708 0.004944
0.722033 0.003688
0.736136 0.002348
0.750000 0.001011
0.763613 -0.000249
0.776960 -0.001373
0.790028 -0.002316
0.802805 -0.003051
0.815276 -0.003565
0.827430 -0.003861
0.839255 -0.003955
0.850737 -0.003871
0.861867 -0.003643
0.872632 -0.003305
0.883022 -0.002895
0.893027 -0.002449
0.902635 -0.001998
0.911838 -0.001570
0.920627 -0.001183
0.928992 -0.000851
0.936925 -0.000581
0.944418 -0.000375
0.951463 -0.000227
0.958054 -0.000130
0.964184 -0.000074
0.969846 -0.000048
0.975036 -0.000041
0.979746 -0.000044
0.983974 -0.000050
0.987715 -0.000054
0.990964 -0.000052
0.993719 -0.000046
0.995977 -0.000035
0.997736 -0.000022
0.998993 -0.000011
0.999748 -0.000003
1.000000 -0.000000
